Question_Number,Example_Prompt_Full,Example_Prompt_Question,Example_Prompt_Constraints,Example_Prompt_Header,Algorithm_IO_Examples,Inputs_1,Output_1,Inputs_2,Output_2,Inputs_3,Output_3,Map
978,"Can you write python code to solve “Longest Turbulent Subarray”?

Given an integer array arr, return the length of a maximum size turbulent subarray of arr. A subarray is turbulent if the comparison sign flips between each adjacent pair of elements in the subarray. More formally, a subarray [arr[i], arr[i + 1],..., arr[j]] of arr is said to be turbulent if and only if: For i <= k < j : arr[k] > arr[k + 1] when k is odd, and arr[k] < arr[k + 1] when k is even. Or, for i <= k < j : arr[k] > arr[k + 1] when k is even, and arr[k] < arr[k + 1] when k is odd.

Constraints:
1 <= arr.length <= 4 * 10 4 0 <= arr[i] <= 10 9

def longest turbulent subarray(…):","Given an integer array arr, return the length of a maximum size turbulent subarray of arr. A subarray is turbulent if the comparison sign flips between each adjacent pair of elements in the subarray. More formally, a subarray [arr[i], arr[i + 1],..., arr[j]] of arr is said to be turbulent if and only if: For i <= k < j : arr[k] > arr[k + 1] when k is odd, and arr[k] < arr[k + 1] when k is even. Or, for i <= k < j : arr[k] > arr[k + 1] when k is even, and arr[k] < arr[k + 1] when k is odd.",1 <= arr.length <= 4 * 10 4 0 <= arr[i] <= 10 9,def longest turbulent subarray(…):,"Example 1:Input: arr = [9,4,2,10,7,8,8,1,9] Output: 5 Explanation: arr[1] > arr[2] < arr[3] > arr[4] < arr[5] 



Example 2: Input: arr = [4,8,12,16] Output: 2 



Example 3: Input: arr = [100] Output: 1","[[9, 4, 2, 10, 7, 8, 8, 1, 9]]",5,"[[4, 8, 12, 16]]",2,[[100]],1,"[[[9, 4, 2, 10, 7, 8, 8, 1, 9]], [[4, 8, 12, 16]], [[100]]]: [5, 2, 1]"
980,"Can you write python code to solve “Unique Paths III”?

You are given an m x n integer array grid where grid[i][j] could be: 1 representing the starting square. There is exactly one starting square. 2 representing the ending square. There is exactly one ending square. 0 representing empty squares we can walk over. -1 representing obstacles that we cannot walk over. Return the number of 4-directional walks from the starting square to the ending square, that walk over every non-obstacle square exactly once.

Constraints:
m == grid.length n == grid[i].length 1 <= m, n <= 20 1 <= m * n <= 20 -1 <= grid[i][j] <= 2 There is exactly one starting cell and one ending cell.

def unique paths iii(…):","You are given an m x n integer array grid where grid[i][j] could be: 1 representing the starting square. There is exactly one starting square. 2 representing the ending square. There is exactly one ending square. 0 representing empty squares we can walk over. -1 representing obstacles that we cannot walk over. Return the number of 4-directional walks from the starting square to the ending square, that walk over every non-obstacle square exactly once.","m == grid.length n == grid[i].length 1 <= m, n <= 20 1 <= m * n <= 20 -1 <= grid[i][j] <= 2 There is exactly one starting cell and one ending cell.",def unique paths iii(…):,"Example 1:Input: grid = [[1,0,0,0],[0,0,0,0],[0,0,2,-1]] Output: 2 Explanation: We have the following two paths: 1. (0,0),(0,1),(0,2),(0,3),(1,3),(1,2),(1,1),(1,0),(2,0),(2,1),(2,2) 2. (0,0),(1,0),(2,0),(2,1),(1,1),(0,1),(0,2),(0,3),(1,3),(1,2),(2,2) 



Example 2: Input: grid = [[1,0,0,0],[0,0,0,0],[0,0,0,2]] Output: 4 Explanation: We have the following four paths: 1. (0,0),(0,1),(0,2),(0,3),(1,3),(1,2),(1,1),(1,0),(2,0),(2,1),(2,2),(2,3) 2. (0,0),(0,1),(1,1),(1,0),(2,0),(2,1),(2,2),(1,2),(0,2),(0,3),(1,3),(2,3) 3. (0,0),(1,0),(2,0),(2,1),(2,2),(1,2),(1,1),(0,1),(0,2),(0,3),(1,3),(2,3) 4. (0,0),(1,0),(2,0),(2,1),(1,1),(0,1),(0,2),(0,3),(1,3),(1,2),(2,2),(2,3) 



Example 3: Input: grid = [[0,1],[2,0]] Output: 0 Explanation: There is no path that walks over every empty square exactly once. Note that the starting and ending square can be anywhere in the grid.","[[[1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, -1]]]",2,"[[[1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 2]]]",4,"[[[0, 1], [2, 0]]]",0,"[[[[1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 2, -1]]], [[[1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 2]]], [[[0, 1], [2, 0]]]]: [2, 4, 0]"
987,"Can you write python code to solve “Vertical Order Traversal of a Binary Tree”?

Given the root of a binary tree, calculate the vertical order traversal of the binary tree. For each node at position (row, col), its left and right children will be at positions (row + 1, col - 1) and (row + 1, col + 1) respectively. The root of the tree is at (0, 0). The vertical order traversal of a binary tree is a list of top-to-bottom orderings for each column index starting from the leftmost column and ending on the rightmost column. There may be multiple nodes in the same row and same column. In such a case, sort these nodes by their values. Return the vertical order traversal of the binary tree.

Constraints:
The number of nodes in the tree is in the range [1, 1000]. 0 <= Node.val <= 1000

def vertical order traversal of a binary tree(…):","Given the root of a binary tree, calculate the vertical order traversal of the binary tree. For each node at position (row, col), its left and right children will be at positions (row + 1, col - 1) and (row + 1, col + 1) respectively. The root of the tree is at (0, 0). The vertical order traversal of a binary tree is a list of top-to-bottom orderings for each column index starting from the leftmost column and ending on the rightmost column. There may be multiple nodes in the same row and same column. In such a case, sort these nodes by their values. Return the vertical order traversal of the binary tree.","The number of nodes in the tree is in the range [1, 1000]. 0 <= Node.val <= 1000",def vertical order traversal of a binary tree(…):,"Example 1:Input: root = [3,9,20,null,null,15,7] Output: [[9],[3,15],[20],[7]] Explanation: Column -1: Only node 9 is in this column. Column 0: Nodes 3 and 15 are in this column in that order from top to bottom. Column 1: Only node 20 is in this column. Column 2: Only node 7 is in this column. 



Example 2: Input: root = [1,2,3,4,5,6,7] Output: [[4],[2],[1,5,6],[3],[7]] Explanation: Column -2: Only node 4 is in this column. Column -1: Only node 2 is in this column. Column 0: Nodes 1, 5, and 6 are in this column. 1 is at the top, so it comes first. 5 and 6 are at the same position (2, 0), so we order them by their value, 5 before 6. Column 1: Only node 3 is in this column. Column 2: Only node 7 is in this column. 



Example 3: Input: root = [1,2,3,4,6,5,7] Output: [[4],[2],[1,5,6],[3],[7]] Explanation: This case is the exact same as example 2, but with nodes 5 and 6 swapped. Note that the solution remains the same since 5 and 6 are in the same location and should be ordered by their values.","[""[3,9,20,null,null,15,7]""]","[[9], [3, 15], [20], [7]]","[[1, 2, 3, 4, 5, 6, 7]]","[[4], [2], [1, 5, 6], [3], [7]]","[[1, 2, 3, 4, 6, 5, 7]]","[[4], [2], [1, 5, 6], [3], [7]]","[['[3,9,20,null,null,15,7]'], [[1, 2, 3, 4, 5, 6, 7]], [[1, 2, 3, 4, 6, 5, 7]]]: [[[9], [3, 15], [20], [7]], [[4], [2], [1, 5, 6], [3], [7]], [[4], [2], [1, 5, 6], [3], [7]]]"
988,"Can you write python code to solve “Smallest String Starting From Leaf”?

You are given the root of a binary tree where each node has a value in the range [0, 25] representing the letters 'a' to 'z'. Return the lexicographically smallest string that starts at a leaf of this tree and ends at the root. As a reminder, any shorter prefix of a string is lexicographically smaller. For example, ""ab"" is lexicographically smaller than ""aba"". A leaf of a node is a node that has no children.

Constraints:
The number of nodes in the tree is in the range [1, 8500]. 0 <= Node.val <= 25

def smallest string starting from leaf(…):","You are given the root of a binary tree where each node has a value in the range [0, 25] representing the letters 'a' to 'z'. Return the lexicographically smallest string that starts at a leaf of this tree and ends at the root. As a reminder, any shorter prefix of a string is lexicographically smaller. For example, ""ab"" is lexicographically smaller than ""aba"". A leaf of a node is a node that has no children.","The number of nodes in the tree is in the range [1, 8500]. 0 <= Node.val <= 25",def smallest string starting from leaf(…):,"Example 1:Input: root = [0,1,2,3,4,3,4] Output: ""dba"" 



Example 2: Input: root = [25,1,3,1,3,0,2] Output: ""adz"" 



Example 3: Input: root = [2,2,1,null,1,0,null,0] Output: ""abc""","[[0, 1, 2, 3, 4, 3, 4]]",dba,"[[25, 1, 3, 1, 3, 0, 2]]",adz,"[""[2,2,1,null,1,0,null,0]""]",abc,"[[[0, 1, 2, 3, 4, 3, 4]], [[25, 1, 3, 1, 3, 0, 2]], ['[2,2,1,null,1,0,null,0]']]: [dba, adz, abc]"
989,"Can you write python code to solve “Add to Array-Form of Integer”?

The array-form of an integer num is an array representing its digits in left to right order. For example, for num = 1321, the array form is [1,3,2,1]. Given num, the array-form of an integer, and an integer k, return the array-form of the integer num + k.

Constraints:
1 <= num.length <= 10 4 0 <= num[i] <= 9 num does not contain any leading zeros except for the zero itself. 1 <= k <= 10 4

def add to array-form of integer(…):","The array-form of an integer num is an array representing its digits in left to right order. For example, for num = 1321, the array form is [1,3,2,1]. Given num, the array-form of an integer, and an integer k, return the array-form of the integer num + k.",1 <= num.length <= 10 4 0 <= num[i] <= 9 num does not contain any leading zeros except for the zero itself. 1 <= k <= 10 4,def add to array-form of integer(…):,"Example 1:Input: num = [1,2,0,0], k = 34 Output: [1,2,3,4] Explanation: 1200 + 34 = 1234 



Example 2: Input: num = [2,7,4], k = 181 Output: [4,5,5] Explanation: 274 + 181 = 455 



Example 3: Input: num = [2,1,5], k = 806 Output: [1,0,2,1] Explanation: 215 + 806 = 1021","[[1, 2, 0, 0], 34]","[1, 2, 3, 4]","[[2, 7, 4], 181]","[4, 5, 5]","[[2, 1, 5], 806]","[1, 0, 2, 1]","[[[1, 2, 0, 0], 34], [[2, 7, 4], 181], [[2, 1, 5], 806]]: [[1, 2, 3, 4], [4, 5, 5], [1, 0, 2, 1]]"
991,"Can you write python code to solve “Broken Calculator”?

There is a broken calculator that has the integer startValue on its display initially. In one operation, you can: multiply the number on display by 2, or subtract 1 from the number on display. Given two integers startValue and target, return the minimum number of operations needed to display target on the calculator.

Constraints:
1 <= startValue, target <= 10 9

def broken calculator(…):","There is a broken calculator that has the integer startValue on its display initially. In one operation, you can: multiply the number on display by 2, or subtract 1 from the number on display. Given two integers startValue and target, return the minimum number of operations needed to display target on the calculator.","1 <= startValue, target <= 10 9",def broken calculator(…):,"Example 1:Input: startValue = 2, target = 3 Output: 2 Explanation: Use double operation and then decrement operation {2 -> 4 -> 3}. 



Example 2: Input: startValue = 5, target = 8 Output: 2 Explanation: Use decrement and then double {5 -> 4 -> 8}. 



Example 3: Input: startValue = 3, target = 10 Output: 3 Explanation: Use double, decrement and double {3 -> 6 -> 5 -> 10}.","[2, 3]",2,"[5, 8]",2,"[3, 10]",3,"[[2, 3], [5, 8], [3, 10]]: [2, 2, 3]"
993,"Can you write python code to solve “Cousins in Binary Tree”?

Given the root of a binary tree with unique values and the values of two different nodes of the tree x and y, return true if the nodes corresponding to the values x and y in the tree are cousins, or false otherwise. Two nodes of a binary tree are cousins if they have the same depth with different parents. Note that in a binary tree, the root node is at the depth 0, and children of each depth k node are at the depth k + 1.

Constraints:
The number of nodes in the tree is in the range [2, 100]. 1 <= Node.val <= 100 Each node has a unique value. x != y x and y are exist in the tree.

def cousins in binary tree(…):","Given the root of a binary tree with unique values and the values of two different nodes of the tree x and y, return true if the nodes corresponding to the values x and y in the tree are cousins, or false otherwise. Two nodes of a binary tree are cousins if they have the same depth with different parents. Note that in a binary tree, the root node is at the depth 0, and children of each depth k node are at the depth k + 1.","The number of nodes in the tree is in the range [2, 100]. 1 <= Node.val <= 100 Each node has a unique value. x != y x and y are exist in the tree.",def cousins in binary tree(…):,"Example 1:Input: root = [1,2,3,4], x = 4, y = 3 Output: false 



Example 2: Input: root = [1,2,3,null,4,null,5], x = 5, y = 4 Output: true 



Example 3: Input: root = [1,2,3,null,4], x = 2, y = 3 Output: false","[[1, 2, 3, 4], 4, 3]",false,"[""[1,2,3,null,4,null,5]"", 5, 4]",true,"[""[1,2,3,null,4]"", 2, 3]",false,"[[[1, 2, 3, 4], 4, 3], ['[1,2,3,null,4,null,5]', 5, 4], ['[1,2,3,null,4]', 2, 3]]: [False, True, False]"
994,"Can you write python code to solve “Rotting Oranges”?

You are given an m x n grid where each cell can have one of three values: 0 representing an empty cell, 1 representing a fresh orange, or 2 representing a rotten orange. Every minute, any fresh orange that is 4-directionally adjacent to a rotten orange becomes rotten. Return the minimum number of minutes that must elapse until no cell has a fresh orange. If this is impossible, return -1.

Constraints:
m == grid.length n == grid[i].length 1 <= m, n <= 10 grid[i][j] is 0, 1, or 2.

def rotting oranges(…):","You are given an m x n grid where each cell can have one of three values: 0 representing an empty cell, 1 representing a fresh orange, or 2 representing a rotten orange. Every minute, any fresh orange that is 4-directionally adjacent to a rotten orange becomes rotten. Return the minimum number of minutes that must elapse until no cell has a fresh orange. If this is impossible, return -1.","m == grid.length n == grid[i].length 1 <= m, n <= 10 grid[i][j] is 0, 1, or 2.",def rotting oranges(…):,"Example 1:Input: grid = [[2,1,1],[1,1,0],[0,1,1]] Output: 4 



Example 2: Input: grid = [[2,1,1],[0,1,1],[1,0,1]] Output: -1 Explanation: The orange in the bottom left corner (row 2, column 0) is never rotten, because rotting only happens 4-directionally. 



Example 3: Input: grid = [[0,2]] Output: 0 Explanation: Since there are already no fresh oranges at minute 0, the answer is just 0.","[[[2, 1, 1], [1, 1, 0], [0, 1, 1]]]",4,"[[[2, 1, 1], [0, 1, 1], [1, 0, 1]]]",-1,"[[[0, 2]]]",0,"[[[[2, 1, 1], [1, 1, 0], [0, 1, 1]]], [[[2, 1, 1], [0, 1, 1], [1, 0, 1]]], [[[0, 2]]]]: [4, -1, 0]"
995,"Can you write python code to solve “Minimum Number of K Consecutive Bit Flips”?

You are given a binary array nums and an integer k. A k-bit flip is choosing a subarray of length k from nums and simultaneously changing every 0 in the subarray to 1, and every 1 in the subarray to 0. Return the minimum number of k-bit flips required so that there is no 0 in the array. If it is not possible, return -1. A subarray is a contiguous part of an array.

Constraints:
1 <= nums.length <= 10 5 1 <= k <= nums.length

def minimum number of k consecutive bit flips(…):","You are given a binary array nums and an integer k. A k-bit flip is choosing a subarray of length k from nums and simultaneously changing every 0 in the subarray to 1, and every 1 in the subarray to 0. Return the minimum number of k-bit flips required so that there is no 0 in the array. If it is not possible, return -1. A subarray is a contiguous part of an array.",1 <= nums.length <= 10 5 1 <= k <= nums.length,def minimum number of k consecutive bit flips(…):,"Example 1:Input: nums = [0,1,0], k = 1 Output: 2 Explanation: Flip nums[0], then flip nums[2]. 



Example 2: Input: nums = [1,1,0], k = 2 Output: -1 Explanation: No matter how we flip subarrays of size 2, we cannot make the array become [1,1,1]. 



Example 3: Input: nums = [0,0,0,1,0,1,1,0], k = 3 Output: 3 Explanation: Flip nums[0],nums[1],nums[2]: nums becomes [1,1,1,1,0,1,1,0] Flip nums[4],nums[5],nums[6]: nums becomes [1,1,1,1,1,0,0,0] Flip nums[5],nums[6],nums[7]: nums becomes [1,1,1,1,1,1,1,1]","[[0, 1, 0], 1]",2,"[[1, 1, 0], 2]",-1,"[[0, 0, 0, 1, 0, 1, 1, 0], 3]",3,"[[[0, 1, 0], 1], [[1, 1, 0], 2], [[0, 0, 0, 1, 0, 1, 1, 0], 3]]: [2, -1, 3]"
997,"Can you write python code to solve “Find the Town Judge”?

In a town, there are n people labeled from 1 to n. There is a rumor that one of these people is secretly the town judge. If the town judge exists, then: The town judge trusts nobody. Everybody (except for the town judge) trusts the town judge. There is exactly one person that satisfies properties 1 and 2. You are given an array trust where trust[i] = [a i, b i ] representing that the person labeled a i trusts the person labeled b i. If a trust relationship does not exist in trust array, then such a trust relationship does not exist. Return the label of the town judge if the town judge exists and can be identified, or return -1 otherwise.

Constraints:
1 <= n <= 1000 0 <= trust.length <= 10 4 trust[i].length == 2 All the pairs of trust are unique. a i != b i 1 <= a i, b i <= n

def find the town judge(…):","In a town, there are n people labeled from 1 to n. There is a rumor that one of these people is secretly the town judge. If the town judge exists, then: The town judge trusts nobody. Everybody (except for the town judge) trusts the town judge. There is exactly one person that satisfies properties 1 and 2. You are given an array trust where trust[i] = [a i, b i ] representing that the person labeled a i trusts the person labeled b i. If a trust relationship does not exist in trust array, then such a trust relationship does not exist. Return the label of the town judge if the town judge exists and can be identified, or return -1 otherwise.","1 <= n <= 1000 0 <= trust.length <= 10 4 trust[i].length == 2 All the pairs of trust are unique. a i != b i 1 <= a i, b i <= n",def find the town judge(…):,"Example 1:Input: n = 2, trust = [[1,2]] Output: 2 



Example 2: Input: n = 3, trust = [[1,3],[2,3]] Output: 3 



Example 3: Input: n = 3, trust = [[1,3],[2,3],[3,1]] Output: -1","[2, [[1, 2]]]",2,"[3, [[1, 3], [2, 3]]]",3,"[3, [[1, 3], [2, 3], [3, 1]]]",-1,"[[2, [[1, 2]]], [3, [[1, 3], [2, 3]]], [3, [[1, 3], [2, 3], [3, 1]]]]: [2, 3, -1]"
998,"Can you write python code to solve “Maximum Binary Tree II”?

A maximum tree is a tree where every node has a value greater than any other value in its subtree. You are given the root of a maximum binary tree and an integer val. Just as in the previous problem, the given tree was constructed from a list a ( root = Construct(a) ) recursively with the following Construct(a) routine: If a is empty, return null. Otherwise, let a[i] be the largest element of a. Create a root node with the value a[i]. The left child of root will be Construct([a[0], a[1],..., a[i - 1]]). The right child of root will be Construct([a[i + 1], a[i + 2],..., a[a.length - 1]]). Return root. Note that we were not given a directly, only a root node root = Construct(a). Suppose b is a copy of a with the value val appended to it. It is guaranteed that b has unique values. Return Construct(b).

Constraints:
The number of nodes in the tree is in the range [1, 100]. 1 <= Node.val <= 100 All the values of the tree are unique. 1 <= val <= 100

def maximum binary tree ii(…):","A maximum tree is a tree where every node has a value greater than any other value in its subtree. You are given the root of a maximum binary tree and an integer val. Just as in the previous problem, the given tree was constructed from a list a ( root = Construct(a) ) recursively with the following Construct(a) routine: If a is empty, return null. Otherwise, let a[i] be the largest element of a. Create a root node with the value a[i]. The left child of root will be Construct([a[0], a[1],..., a[i - 1]]). The right child of root will be Construct([a[i + 1], a[i + 2],..., a[a.length - 1]]). Return root. Note that we were not given a directly, only a root node root = Construct(a). Suppose b is a copy of a with the value val appended to it. It is guaranteed that b has unique values. Return Construct(b).","The number of nodes in the tree is in the range [1, 100]. 1 <= Node.val <= 100 All the values of the tree are unique. 1 <= val <= 100",def maximum binary tree ii(…):,"Example 1:Input: root = [4,1,3,null,null,2], val = 5 Output: [5,4,null,1,3,null,null,2] Explanation: a = [1,4,2,3], b = [1,4,2,3,5] 



Example 2: Input: root = [5,2,4,null,1], val = 3 Output: [5,2,4,null,1,null,3] Explanation: a = [2,1,5,4], b = [2,1,5,4,3] 



Example 3: Input: root = [5,2,3,null,1], val = 4 Output: [5,2,4,null,1,3] Explanation: a = [2,1,5,3], b = [2,1,5,3,4]","[""[4,1,3,null,null,2]"", 5]","[5, 4, null, 1, 3, null, null, 2]","[""[5,2,4,null,1]"", 3]","[5, 2, 4, null, 1, null, 3]","[""[5,2,3,null,1]"", 4]","[5, 2, 4, null, 1, 3]","[['[4,1,3,null,null,2]', 5], ['[5,2,4,null,1]', 3], ['[5,2,3,null,1]', 4]]: [[5, 4, None, 1, 3, None, None, 2], [5, 2, 4, None, 1, None, 3], [5, 2, 4, None, 1, 3]]"
999,"Can you write python code to solve “Available Captures for Rook”?

You are given an 8 x 8 matrix representing a chessboard. There is exactly one white rook represented by 'R', some number of white bishops 'B', and some number of black pawns 'p'. Empty squares are represented by '.'. A rook can move any number of squares horizontally or vertically (up, down, left, right) until it reaches another piece or the edge of the board. A rook is attacking a pawn if it can move to the pawn's square in one move. Note: A rook cannot move through other pieces, such as bishops or pawns. This means a rook cannot attack a pawn if there is another piece blocking the path. Return the number of pawns the white rook is attacking.

Constraints:
board.length == 8 board[i].length == 8 board[i][j] is either 'R', '.', 'B', or 'p' There is exactly one cell with board[i][j] == 'R'

def available captures for rook(…):","You are given an 8 x 8 matrix representing a chessboard. There is exactly one white rook represented by 'R', some number of white bishops 'B', and some number of black pawns 'p'. Empty squares are represented by '.'. A rook can move any number of squares horizontally or vertically (up, down, left, right) until it reaches another piece or the edge of the board. A rook is attacking a pawn if it can move to the pawn's square in one move. Note: A rook cannot move through other pieces, such as bishops or pawns. This means a rook cannot attack a pawn if there is another piece blocking the path. Return the number of pawns the white rook is attacking.","board.length == 8 board[i].length == 8 board[i][j] is either 'R', '.', 'B', or 'p' There is exactly one cell with board[i][j] == 'R'",def available captures for rook(…):,"Example 1:Input: board = [[""."",""."",""."",""."",""."",""."",""."","".""],[""."",""."",""."",""p"",""."",""."",""."","".""],[""."",""."",""."",""R"",""."",""."",""."",""p""],[""."",""."",""."",""."",""."",""."",""."","".""],[""."",""."",""."",""."",""."",""."",""."","".""],[""."",""."",""."",""p"",""."",""."",""."","".""],[""."",""."",""."",""."",""."",""."",""."","".""],[""."",""."",""."",""."",""."",""."",""."","".""]] Output: 3 Explanation: In this example, the rook is attacking all the pawns. 



Example 2: Input: board = [[""."",""."",""."",""."",""."",""."","".""],[""."",""p"",""p"",""p"",""p"",""p"",""."","".""],[""."",""p"",""p"",""B"",""p"",""p"",""."","".""],[""."",""p"",""B"",""R"",""B"",""p"",""."","".""],[""."",""p"",""p"",""B"",""p"",""p"",""."","".""],[""."",""p"",""p"",""p"",""p"",""p"",""."","".""],[""."",""."",""."",""."",""."",""."",""."","".""],[""."",""."",""."",""."",""."",""."",""."","".""]] Output: 0 Explanation: The bishops are blocking the rook from attacking any of the pawns. 



Example 3: Input: board = [[""."",""."",""."",""."",""."",""."",""."","".""],[""."",""."",""."",""p"",""."",""."",""."","".""],[""."",""."",""."",""p"",""."",""."",""."","".""],[""p"",""p"",""."",""R"",""."",""p"",""B"","".""],[""."",""."",""."",""."",""."",""."",""."","".""],[""."",""."",""."",""B"",""."",""."",""."","".""],[""."",""."",""."",""p"",""."",""."",""."","".""],[""."",""."",""."",""."",""."",""."",""."","".""]] Output: 3 Explanation: The rook is attacking the pawns at positions b5, d6, and f5.","[[[""."", ""."", ""."", ""."", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""p"", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""R"", ""."", ""."", ""."", ""p""], [""."", ""."", ""."", ""."", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""."", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""p"", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""."", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""."", ""."", ""."", ""."", "".""]]]",3,"[[[""."", ""."", ""."", ""."", ""."", ""."", "".""], [""."", ""p"", ""p"", ""p"", ""p"", ""p"", ""."", "".""], [""."", ""p"", ""p"", ""B"", ""p"", ""p"", ""."", "".""], [""."", ""p"", ""B"", ""R"", ""B"", ""p"", ""."", "".""], [""."", ""p"", ""p"", ""B"", ""p"", ""p"", ""."", "".""], [""."", ""p"", ""p"", ""p"", ""p"", ""p"", ""."", "".""], [""."", ""."", ""."", ""."", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""."", ""."", ""."", ""."", "".""]]]",0,"[[[""."", ""."", ""."", ""."", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""p"", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""p"", ""."", ""."", ""."", "".""], [""p"", ""p"", ""."", ""R"", ""."", ""p"", ""B"", "".""], [""."", ""."", ""."", ""."", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""B"", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""p"", ""."", ""."", ""."", "".""], [""."", ""."", ""."", ""."", ""."", ""."", ""."", "".""]]]",3,"[[[['.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', 'p', '.', '.', '.', '.'], ['.', '.', '.', 'R', '.', '.', '.', 'p'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', 'p', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.']]], [[['.', '.', '.', '.', '.', '.', '.'], ['.', 'p', 'p', 'p', 'p', 'p', '.', '.'], ['.', 'p', 'p', 'B', 'p', 'p', '.', '.'], ['.', 'p', 'B', 'R', 'B', 'p', '.', '.'], ['.', 'p', 'p', 'B', 'p', 'p', '.', '.'], ['.', 'p', 'p', 'p', 'p', 'p', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.']]], [[['.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', 'p', '.', '.', '.', '.'], ['.', '.', '.', 'p', '.', '.', '.', '.'], ['p', 'p', '.', 'R', '.', 'p', 'B', '.'], ['.', '.', '.', '.', '.', '.', '.', '.'], ['.', '.', '.', 'B', '.', '.', '.', '.'], ['.', '.', '.', 'p', '.', '.', '.', '.'], ['.', '.', '.', '.', '.', '.', '.', '.']]]]: [3, 0, 3]"
1000,"Can you write python code to solve “Minimum Cost to Merge Stones”?

There are n piles of stones arranged in a row. The i th pile has stones[i] stones. A move consists of merging exactly k consecutive piles into one pile, and the cost of this move is equal to the total number of stones in these k piles. Return the minimum cost to merge all piles of stones into one pile. If it is impossible, return -1.

Constraints:
n == stones.length 1 <= n <= 30 1 <= stones[i] <= 100 2 <= k <= 30

def minimum cost to merge stones(…):","There are n piles of stones arranged in a row. The i th pile has stones[i] stones. A move consists of merging exactly k consecutive piles into one pile, and the cost of this move is equal to the total number of stones in these k piles. Return the minimum cost to merge all piles of stones into one pile. If it is impossible, return -1.",n == stones.length 1 <= n <= 30 1 <= stones[i] <= 100 2 <= k <= 30,def minimum cost to merge stones(…):,"Example 1:Input: stones = [3,2,4,1], k = 2 Output: 20 Explanation: We start with [3, 2, 4, 1]. We merge [3, 2] for a cost of 5, and we are left with [5, 4, 1]. We merge [4, 1] for a cost of 5, and we are left with [5, 5]. We merge [5, 5] for a cost of 10, and we are left with [10]. The total cost was 20, and this is the minimum possible. 



Example 2: Input: stones = [3,2,4,1], k = 3 Output: -1 Explanation: After any merge operation, there are 2 piles left, and we can't merge anymore. So the task is impossible. 



Example 3: Input: stones = [3,5,1,2,6], k = 3 Output: 25 Explanation: We start with [3, 5, 1, 2, 6]. We merge [5, 1, 2] for a cost of 8, and we are left with [3, 8, 6]. We merge [3, 8, 6] for a cost of 17, and we are left with [17]. The total cost was 25, and this is the minimum possible.","[[3, 2, 4, 1], 2]",20,"[[3, 2, 4, 1], 3]",-1,"[[3, 5, 1, 2, 6], 3]",25,"[[[3, 2, 4, 1], 2], [[3, 2, 4, 1], 3], [[3, 5, 1, 2, 6], 3]]: [20, -1, 25]"
